id;day;start_time;end_time;semester
1;behind ugh;first finally gadzooks;over;7177
2;disapprove geez loftily;skyline exasperation unexpectedly;incidentally;31652
3;quarrelsomely waterspout geez;psst;certainly pretend case;24670
4;enfold;lest frightened;provided;19805
5;gnaw;chunter weep;enthusiastically technologist abaft;3659
6;seafood;fleck;annex mid lest;23673
7;anti;a till incidentally;electrify whereas snack;12422
8;privilege immediately sleepily;oof promptly;aha tinted veto;22821
9;to continually pro;in who;breed;23013
10;regarding mature next;peter why accessorise;technologist;17350
