id;day;start_time;end_time;semester
1;quash sternly;thick vainly;castanet bestride;1332
2;gullible;graceful pillow via;splash;5591
3;structure everlasting;boo analogy;obediently;12807
4;unwritten weighty;intently;rout;24171
5;peninsula lone;delightfully;shadowbox who grandson;20397
6;acidly snarling;concerning;measly debut provided;26019
7;inasmuch around;among after sand;whenever wing barring;16363
8;challenge;ew generously;although;8945
9;ah officially duh;of shudder;oval rebel;24699
10;typify;tensely but;hydrocarbon;11627
